,f,P,amp,ph,T0,offset,e_amp,e_ph,e_T0,e_offset,e_f,e_P,pmax
TOI5112_SECTORNone,0.1868882003663963,5.350792602419463,0.0003520202240869,-0.0757118100125452,2500.678141522006,1.0000040391622107,1.3429711423757129e-05,0.0060718243189925,0.032489072649256,9.496240017117108e-06,0.001235928180198,0.0353858368305773,0.0413793353013757
TOI0276_SECTORNone,0.2134227594462564,4.685535894084517,0.0004031772077761,-0.4207318751531125,1387.9078692647918,1.0000197698892546,1.7650335749537404e-05,0.0069675024470383,0.0326464828077198,1.2480672098717244e-05,0.0019038743968865,0.0417981280327646,0.0412756077184903
TOI3655_SECTORNone,0.6154082912461992,1.6249374833332262,0.0011922983852771,-0.376399859952131,2500.803929710617,0.9999847969638074,4.626915236177677e-05,0.0061762763432218,0.0100360629375254,3.271723139476592e-05,0.0014899863057855,0.0039341923603617,0.0410488512723071
TOI1754_SECTORNone,0.1670399856108736,5.986590554009865,0.0009087083216273,0.0761029994005692,1682.89904190857,0.9999949716257652,3.66066516698414e-05,0.0064114407501682,0.038382670632551,2.58848116322787e-05,0.0010274320969042,0.0368224126919057,0.040875275716863
TOI0559_SECTORNone,0.1393254271615045,7.177440761339354,0.0003880777105159,0.1585812455093123,2143.3805807711715,1.0000524930063768,1.5056275525498295e-05,0.0061747444120173,0.0443188622336657,1.0646394523492896e-05,0.0011199608775541,0.0576955191699819,0.0408519662953101
TOI1861_SECTORNone,0.1736026432695562,5.7602809563635535,0.0002941051451047,0.0517608720548963,1597.7807926651335,1.000029686142864,1.1103530541219286e-05,0.0060086734313243,0.0346116471394654,7.851381740808094e-06,0.0008744371629812,0.0290145567060076,0.0407481423019263
TOI2143_SECTORNone,0.181801642782257,5.500500351351032,0.0006627133736649,-0.3270795631448339,1985.428882446194,0.9999400920096504,2.551952653849741e-05,0.0061286808979047,0.0337108114322432,1.804503026804159e-05,0.0013787111951893,0.0417136022397421,0.0403834637090088
TOI5131_SECTORNone,0.1753150793925303,5.704015897919429,0.0021107790744584,-0.461926016199142,2529.3602705844933,0.9999859586031756,8.10013280463422e-05,0.0061075845935659,0.0348377596195879,5.727658834668465e-05,0.0013972486452494,0.0454605987885646,0.040339047481447
TOI0897_SECTORNone,1.5474334758442376,0.6462313344064288,0.0002025693935446,0.2941206035983684,2201.5481799692475,1.0000006381590898,7.496296295827018e-06,0.0058896982880047,0.0038061075839085,5.300681944562882e-06,0.001066928822553,0.0004455654136207,0.0403202841111594
TOI4324_SECTORNone,0.1248600865427804,8.008964495290279,0.0002795216571444,0.1471635825627406,1516.6910363885738,1.0000082059303006,1.178243020958344e-05,0.0067087181317103,0.0537298853257785,8.331436300053684e-06,0.0011426400720003,0.0732929474977693,0.039990709336306
TOI2549_SECTORNone,0.635665396140553,1.5731546912440213,0.0010672969097636,-0.0540539143962759,2229.1368582434584,0.9999981574985088,4.0669989736997145e-05,0.0060646946907893,0.009540702903778,2.875802553381797e-05,0.0011926515206529,0.0029515926871684,0.0399117347356344
TOI0825_SECTORNone,0.133419100084405,7.495178721542634,0.0013886543220107,0.3375013989873409,1597.4286543964397,0.9999048361839888,5.589716625529952e-05,0.006406425395687,0.0480173033069041,3.952526530823415e-05,0.0010207509994117,0.0573434475719314,0.0396403055338645
TOI1880_SECTORNone,0.2947861039679088,3.3922901606951683,0.0022428048577835,0.1015401854783916,2333.5131611800684,0.999916637336378,8.265371018807263e-05,0.0058653103481846,0.0198968345835704,5.844499896421379e-05,0.0010023992771223,0.0115352425338213,0.0393302566665041
TOI0260_SECTORNone,0.1493160773290173,6.697202457284654,0.0001359763283459,-0.3359306801708686,1388.191456398445,1.0000072939507467,5.934810014574372e-06,0.0069464616497641,0.0465218600302341,4.196544406359371e-06,0.001645085082591,0.0737862128087818,0.0393103992746657
TOI0236_SECTORNone,0.209465106335324,4.77406484304427,0.0006151117469189,0.0503058663512339,1353.8733058249643,1.0001141949883658,2.3290777934676217e-05,0.0060262910850369,0.028769904403026,1.6469067016719564e-05,0.0011261552665697,0.0256669874997375,0.039245734824099
TOI0553_SECTORNone,0.1,10.0,0.0003236037735268,0.4249410541978361,1406.655108040551,1.000043149410639,1.2018258114159282e-05,0.0059108247267216,0.0591082472672164,8.498191810572277e-06,,,0.039214873283798
TOI0481_SECTORNone,0.1,10.0,0.0002146183238091,-0.0541131772267895,1468.8138030982714,1.000017271841985,8.608442358865568e-06,0.006383779956055,0.0638377995605509,6.0870879674073625e-06,,,0.0389408196650359
